download,upload,ping,packetLoss,externalIp,collectedAt
511.25,147.56,9.66,0,177.76.242.156,1656720993236
262.26,107.01,9.22,0,177.76.242.156,Fri Jul 01 2022 21:18:27 GMT-0300 (Horário Padrão de Brasília)
